duration,predictions,gt,predictions_clean,gt_clean
18.5001875,"The formula we structure and the focus growth in the long term contracted and regular activities, also into reducing our merchant exposure, and improve our low cost profile, and adapt together with further supportive credit markets and lower yields for longer, which allows us to also reduce our average cost of data.","The, the portfolio restructuring into focus goes into long term contracted and regular activities, also going to reduce how much exposure and improve our low-risk profile, and that together with very supportive credit markets, and lower yields for longer term allow us to also continue to reduce our average cost of debt.",the formula we structure and the focus growth in the long term contracted and regular activities also into reducing our merchant exposure and improve our low cost profile and adapt together with further supportive credit markets and lower yields for longer which allows us to also reduce our average cost of data,the the portfolio restructuring into focus goes into long term contracted and regular activities also going to reduce how much exposure and improve our low risk profile and that together with very supportive credit markets and lower yields for longer term allow us to also continue to reduce our average cost of debt
8.779875,". If you notice as we go on closing the P.P.A.s, we provide that, we have a very large pipeline which has allowed us to feed and it's basically a funnel.","Um, you know, obviously, as we go on closing the PPAs, we provide that, we have a very large pipeline which has allowed us to feed, it's basically a funnel.",if you notice as we go on closing the p p a s we provide that we have a very large pipeline which has allowed us to feed and it is basically a funnel,you know obviously as we go on closing the ppas we provide that we have a very large pipeline which has allowed us to feed it is basically a funnel
8.38025,and so that the transactions we are doing are allowing us to get a little bit more freedom and to move towards the triple.,"So it's not, the transactions we're doing are allowing us to get a little bit more freedom and to move towards the Triple B.",and so that the transactions we are doing are allowing us to get a little bit more freedom and to move towards the triple,so it is not the transactions we are doing are allowing us to get a little bit more freedom and to move towards the triple b
11.9800625,"It's fully driven by the following of hedging results in Liberia, partly offset by the seventeen per cent, declined epoch, defined supply in Liberia, mostly given the contraction and literacy supply functions by seven per cent.","It's fully driven by the positive hedging results in Iberia, partially offset by the 17% decline in EBITDA from supplying Iberia, mostly given the contraction in electricity supply volumes by 7%.",it is fully driven by the following of hedging results in liberia partly offset by the 17% declined epoch defined supply in liberia mostly given the contraction and literacy supply functions by 7%,it is fully driven by the positive hedging results in iberia partially offset by the 17% decline in ebitda from supplying iberia mostly given the contraction in electricity supply volumes by 7%
4.280125,but then don't forget a lot of this was also in Britain.,"Then, don't forget, a lot of this was also in Brazil.",but then do not forget a lot of this was also in britain,then do not forget a lot of this was also in brazil
12.2600625,"This was most relevant in the b c segment, where the decrease in volumes watching fourteen per cent was only partially mitigated by the one point five per cent increment in the b c segment.","So this was most relevant in the B2B segments, where the decrease in volumes reaching 14% was only partially mitigated by the 1.5% increments in the B2C segment.",this was most relevant in the b c segment where the decrease in volumes watching 14% was only partially mitigated by the one.5% increment in the b c segment,so this was most relevant in the b 2 b segments where the decrease in volumes reaching 14% was only partially mitigated by the one.5% increments in the b 2 c segment
4.7400625,in the video description.,"Um, the, in relation to the Spanish COVID we've already done that last year.",in the video description,the in relation to the spanish covid we have already done that last year
6.0999375,"And I think these topics are negative, they need to be comfortable with the guidance you have provided on the topic.","And I think these positives and negatives needed to be comfortable with the, the guidance we provided a month.",and i think these topics are negative they need to be comfortable with the guidance you have provided on the topic,and i think these positives and negatives needed to be comfortable with the the guidance we provided a month
1.8399375,but it's part of life.,"But it's part of, part of life.",but it is part of life,but it is part of part of life
3.9600625,"here. So, I think it's a boost in that respect as well.",So it's given us a boost in that respect as well.,here so i think it is a boost in that respect as well,so it is given us a boost in that respect as well
4.24,"To answer your question, please press star two.","To cancel your question, please press star two.",to answer your question please press star 2,to cancel your question please press star 2
5.019875,", and please so at first to, I'm afraid also, on the, on the guidance.","So, uh, first two, I'm afraid also on the, on the guidance.",and please so at 1st to i am afraid also on the on the guidance,so 1st 2 i am afraid also on the on the guidance
2.7600625,of the video.,"Um, also work along with the same, the same direction.",of the video,also work along with the same the same direction
0.2400625,.,Okay Harry.,,okay harry
2.3000625,if needed.,"Um, how did I say?",if needed,how did i say
14.7200625,"So, Stephen Vezato from Credit Suisse and Josh Kimmeridge from TV Capital, are you in addition to provide more detail on the expected synergies and tax benefits from Tunisia to the Isis? He is now focused on detailed view on potential synergies.","So definitely example from Credit Suisse and just given rise from GB Capital, are you in position to provide more detail on the expected synergies and tax benefits on connection with <inaudible> is now classified more details view about potential synergies.",so stephen vezato from credit suisse and josh kimmeridge from tv capital are you in addition to provide more detail on the expected synergies and tax benefits from tunisia to the isis he is now focused on detailed view on potential synergies,so definitely example from credit suisse and just given rise from gb capital are you in position to provide more detail on the expected synergies and tax benefits on connection with is now classified more details view about potential synergies
15.3400625,"So, on eVotown, the breakdown by business platform-so as I mentioned, consolidated eVoton down three per cent year on year, but would have been flat if the excluded four x in fact, namely the residing real, which appreciated twenty per cent per cent of the euro.","So on EBITDA, the breakdown by business platform, so as I mentioned, consolidated EBITDA down 2% year on year but would have been flat if we excluded the Forex in fact, namely the Brazilian Real which depreciated 20% versus the euro.",so on evotown the breakdown by business platform so as i mentioned consolidated evoton down 3% year on year but would have been flat if the excluded 4 x in fact namely the residing real which appreciated 20% per cent of the euro,so on ebitda the breakdown by business platform so as i mentioned consolidated ebitda down 2% year on year but would have been flat if we excluded the forex in fact namely the brazilian real which depreciated 20% versus the euro
10.6,"So, yet, the guidance already assumes the gains that may come from moving the remaining projects into the JV, so that's not built in.","So, yes, the, the guidance in short already assumes the gains that may come in from moving the remaining projects into the JV, so that's also built in.",so yet the guidance already assumes the gains that may come from moving the remaining projects into the jv so that is not built in,so yes the the guidance in short already assumes the gains that may come in from moving the remaining projects into the jv so that is also built in
5.86025,". Some of those legals have slipped into twenty twenty one, but I think the organization is there.","Um, as I said, some of those megawatts have slipped into tiny, tiny one, but I think the organization is there.",some of those legals have slipped into 2021 but i think the organization is there,as i said some of those megawatts have slipped into tiny tiny one but i think the organization is there
10.840125,"Besides, I have just announced a share playback programme in which I have talked about the dividend policy set out in the dividend source in the one wheel out per share, fifty per cent paid on adjustment and profit.","Um, resources now announced a share buyback program and the, our application on this dividend policy, secondary <inaudible> and one Real per share with a 50% payout on adjusted net profit.",besides i have just announced a share playback program in which i have talked about the dividend policy set out in the dividend source in the one wheel out per share 50% paid on adjustment and profit,resources now announced a share buyback program and the our application on this dividend policy secondary and one real per share with a 50% payout on adjusted net profit
2.460125,and the written version that we have done.,"Uh, and the reevaluations that were done.",and the written version that we have done,and the reevaluations that were done
16.8201875,"I would just also say, in relation to the tax issue I have seen, since we will have more than seventy five per cent in the Distribution Holding Company, we will have the full fiscal consolidation within the E.T.P. Spain, Perimeter, so we expect that to also generate significant taxes.","I, I would just also say in relation to the tax issue, I mean, obviously, since we will have more than 75% in the distribution holding company, we will have the full fiscal consolidation within the GDP, Spain perimeter, so, uh, we expect that to also generate, uh, significant salaries.",i would just also say in relation to the tax issue i have seen since we will have more than 75% in the distribution holding company we will have the full fiscal consolidation within the e t p spain perimeter so we expect that to also generate significant taxes,i i would just also say in relation to the tax issue i mean obviously since we will have more than 75% in the distribution holding company we will have the full fiscal consolidation within the gdp spain perimeter so we expect that to also generate significant salaries
7.280125,"if it go to three, to three and a half, four gigawatt, you know within the next three years of gross capacity additions.","If it, if it goes to three, to three and a half, four gigawatts, uh, you know, within the next three years of gross capacity additions.",if it go to 3 to 3.54 gigawatt you know within the next 3 years of gross capacity additions,if it if it goes to 3 to 3.54 gigawatts you know within the next 3 years of gross capacity additions
7.680125,"Finally, we also announced over the last month, due to after the rotation yields totaling one point one billion years of enterprise value.","Finally, we also announced over the last month through after rotation deals totaling €1.1 billion of enterprise value.",finally we also announced over the last month due to after the rotation yields totaling 1100000000 years of enterprise value,finally we also announced over the last month through after rotation deals totaling €1100000000 of enterprise value
3.72,in the language of the speaker.,Harry Wiberg from Bank of America.,in the language of the speaker,harry wiberg from bank of america
5.260125,so we can 1.5 to 1.9 take range,"So within, uh, you know, 1.5 to 1.9 type range.",so we can one.5 to one.9 take range,so within you know one.5 to one.9 type range
7.38025,"So that, quote your regulations, in terms of solar oxygen, we also go to these options.","But that's Portuguese regulation, in terms of solar oxygen, so we obviously go to these auctions.",so that quote your regulations in terms of solar oxygen we also go to these options,but that is portuguese regulation in terms of solar oxygen so we obviously go to these auctions
2.3199375,.,"<inaudible>, um, Alberto Gandolfi from Goldman Sachs.",,alberto gandolfi from goldman sachs
10.0401875,"I think we have the heart of it, the core that we already have in terms of energy assessment, in terms of the relationship of the transcribed manuscript, so I think that's there.","I think we had the, the heart of it, you know, the core, we already had in terms of energy assessment, in terms of the relationship with the turbine manufacturers, so I think that's there.",i think we have the heart of it the core that we already have in terms of energy assessment in terms of the relationship of the transcribed manuscript so i think that is there,i think we had the the heart of it you know the core we already had in terms of energy assessment in terms of the relationship with the turbine manufacturers so i think that is there
9.7000625,"Coming out of this, I think there is really an opportunity to take home the lessons in benefit not only from an efficiency point of view, so that you are relevant.","Coming out of this, I think there's really an opportunity to, to take some of the lessons learned and benefit, not only from an efficiency point of view, um, some of it's irrelevant.",coming out of this i think there is really an opportunity to take home the lessons in benefit not only from an efficiency point of view so that you are relevant,coming out of this i think there is really an opportunity to to take some of the lessons learned and benefit not only from an efficiency point of view some of it is irrelevant
5.7600625,so as to be brought to the next class on Recarean Yet Profit.,"Let's move forward to the next slide, um, on recurring net profits.",so as to be brought to the next class on recarean yet profit,let us move forward to the next slide on recurring net profits
5.8600625,"Depending on the networks, the seven cents fall on pitau's also related to the depreciation of the present reality.","Turning to networks, the 7% fall on EBITDA is mostly related to the depreciation of the Brazilian Real.",depending on the networks the ¢7 fall on pitau is also related to the depreciation of the present reality,turning to networks the 7% fall on ebitda is mostly related to the depreciation of the brazilian real
10.6200625,"because you know our recurring net profits assume the same as our recurring net profits, so if you take that out there's a point eight and... so if you do that...","But, you know, our recurring net profits assumes the status of non recurring, so if you take that out versus the point eight, um, including the sales.",because you know our recurring net profits assume the same as our recurring net profits so if you take that out there is a .8 and so if you do that .,but you know our recurring net profits assumes the status of non recurring so if you take that out versus the .8 including the sales
13.3800625,"The first view which renounced in mid August was three hundred and forty megawatts in Spain, at an easy multiple of two point one thousand euros per megawatt, for a portfolio with an average of nine years.","The first deal, which we announced in mid august was 240 megawatts in Spain, at an easy multiples €2.1 million per megawatt for portfolio with an aggregate average age of nine years.",the 1st view which renounced in mid august was 340 megawatts in spain at an easy multiple of €2100 per megawatt for a portfolio with an average of 9 years,the 1st deal which we announced in mid august was 240 megawatts in spain at an easy multiples €2100000 per megawatt for portfolio with an aggregate average age of 9 years
6.480125,"I think, in spite of that, we are able to have a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a... a...","And I think despite that, we're able to have, you know, solid results.",i think in spite of that we are able to have a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a .,and i think despite that we are able to have you know solid results
5.6800625,"Thank you for taking the call, and I hope you have a good summer break.","Thanks for, for taking this call, and uh, I hope you had a, a good summer break.",thank you for taking the call and i hope you have a good summer break,thanks for for taking this call and i hope you had a a good summer break
5.34,Two remaining afflux have been transferred from outside-Mayflower and so in the US.,"Two remaining assets to be transferred from our side Mayflower and, uh, so in the US.",2 remaining afflux have been transferred from outside mayflower and so in the us,2 remaining assets to be transferred from our side mayflower and so in the us
1.9600625,"Future thought, I've never seen never.",So I never say never.,future thought i have never seen never,so i never say never
0.4400625,Thank you.,Thank you.,thank you,thank you
4.0400625,It's fully operational now. Stop months ahead of regulatory schedule.,"It's fully operational now, 12 months ahead of regulatory schedule.",it is fully operational now stop months ahead of regulatory schedule,it is fully operational now 12 months ahead of regulatory schedule
6.64,So that's overall combined effect allows us to feel comfortable about the dividend policies I mentioned.,So this overall combined effect allows us to feel comfortable about the dividend policies I mentioned.,so that is overall combined effect allows us to feel comfortable about the dividend policies i mentioned,so this overall combined effect allows us to feel comfortable about the dividend policies i mentioned
16.3599375,"You call it recovering, I think out there there's different definitions by different you know people like artist-inductors. Would you be so kind to tell us how much past the trotation or offshore geograve gains you are including in there?","You call it recovering, I think out there, there's different definitions by different, you know, people like analysts, investors, would you be so kind to tell us how much assets rotation or offshore JV gains you are including in there.",you call it recovering i think out there there is different definitions by different you know people like artist inductors would you be so kind to tell us how much past the trotation or offshore geograve gains you are including in there,you call it recovering i think out there there is different definitions by different you know people like analysts investors would you be so kind to tell us how much assets rotation or offshore jv gains you are including in there
10.259875,"on a second question, I really appreciate the gift by your comment that you talked about you know eighty five per cent secured of the seven kiko word","Um, second question, I, I'm really intrigued by your comments that talked about, you know, 85% secured of the seven gigawatts.",on a 2nd question i really appreciate the gift by your comment that you talked about you know 85% secured of the 7 kiko word,2nd question i i am really intrigued by your comments that talked about you know 85% secured of the 7 gigawatts
11.0600625,"So, just generally, I think we continue to see a very positive outcome from getting EP's capacity to lead this energy transition, to really continue to create value for our stakeholders in our shareholders.","So just generally, I think we continue to see a very positive outlook regarding EDP's capacity to, to lead this energy transition to really continue to create value for, for our stakeholders and our shareholders, obviously.",so just generally i think we continue to see a very positive outcome from getting ep is capacity to lead this energy transition to really continue to create value for our stakeholders in our shareholders,so just generally i think we continue to see a very positive outlook regarding edp is capacity to to lead this energy transition to really continue to create value for for our stakeholders and our shareholders obviously
3.12025,in relation to the question on the runway.,In relation to the question on the runway.,in relation to the question on the runway,in relation to the question on the runway
3.5600625,I think you are best of luck in inserting a side...,"I think, you know, this is, I think an interesting slide.",i think you are best of luck in inserting a side .,i think you know this is i think an interesting slide
4.84025,"and we participate, the same way we participate in many other auctions around the world,",And we participate the same way we participate in many other auctions around the world.,and we participate the same way we participate in many other auctions around the world,and we participate the same way we participate in many other auctions around the world
5.9600625,"In terms of the social tariff, not really any use of that, so no change there.","In terms of the fossil tariff, not really any news on that, so no change there.",in terms of the social tariff not really any use of that so no change there,in terms of the fossil tariff not really any news on that so no change there
9.5800625,"on the text. Please. Ladies and gentlemen, if you would like to ask a question of this time, please press the one on your telephone to talk.","Ladies and gentlemen, if you would like to ask a question at this time, please press star one on your telephone keypad.",on the text please ladies and gentlemen if you would like to ask a question of this time please press the one on your telephone to talk,ladies and gentlemen if you would like to ask a question at this time please press star one on your telephone keypad
9.4200625,"Nit death down ten per cent here to date to forty point one billion euros, obviously a collection of first half the payment of the annual dividend in the second quarter","Net debt down 2% year to date, to €14.1 billion, and obviously this reflects in the first half of payments of the annual dividend in the second quarter.",nit death down 10% here to date to €40100000000 obviously a collection of 1st half the payment of the annual dividend in the 2nd quarter,net debt down 2% year to date to €14100000000 and obviously this reflects in the 1st half of payments of the annual dividend in the 2nd quarter
7.18,"here. This translated also into a good quality of service, also even in terms of book, the supply, and the distribution.","This translated also to a good quality of service also, even in terms of both the suppliers and the distribution.",here this translated also into a good quality of service also even in terms of book the supply and the distribution,this translated also to a good quality of service also even in terms of both the suppliers and the distribution
0.22,and,Yeah.,and,yeah
10.0000625,"In terms of the views we expect to do in the fourth quarter, we expect to conclude in the fourth quarter, I think that will be the positive obviously of the post twenty twenty period.","In terms of the deals we expect to do in the fourth quarter, um, we expect to conclude in the fourth quarter, I think that will be positive obviously for the past 20, 28 years.",in terms of the views we expect to do in the 4th quarter we expect to conclude in the 4th quarter i think that will be the positive obviously of the post 2020 period,in terms of the deals we expect to do in the 4th quarter we expect to conclude in the 4th quarter i think that will be positive obviously for the past 20 28 years
9.4400625,Are you already at the peak of that or do you see a still some room for improvement in the coming future?,"Are you already at the peak of that or, uh, do you see, uh, still some room for improvement, uh, in the, in the coming future?",are you already at the peak of that or do you see a still some room for improvement in the coming future,are you already at the peak of that or do you see still some room for improvement in the in the coming future
36.6800625,"So after rotations, close to point four, and what I would like to highlight, though also, it does show the recurring power of the business model, because it's not one, it's not two, it's not three, it's not four, it's already several transactions that we've been doing over the last couple of years or last two years, so many greatsakes where we have consistently shown not only the marked naphthythia, for example, but also the fact that we've been doing over the last couple of years or last two years, so many greatsakes where we have consistently shown not only the marked naphthythia, for example, but also the fact that we've been doing over the last couple of years or last two years, so many greatsakes where we have consistently shown not only the marked naphthythia, for example, but also the fact that we've been doing over the last couple of years or last two years, so many greatsakes where we have consistently shown not only the marked naphthythia, for","So after rotations, um, close to point four, um, and what I would like to highlight, though also, it does show the recurring power of this business model because it's not one, it's not two, it's not three, it's not four, it's already several transactions that we've been doing over the last, um, couple of years, or less than the last two years, selling majority stakes where we have consistently shown our, not only the market appetite for these assets but also the interest and the sort of the attractiveness of these assets, which is obviously increased even during this period.",so after rotations close to .4 and what i would like to highlight though also it does show the recurring power of the business model because it is not one it is not 2 it is not 3 it is not 4 it is already several transactions that we have been doing over the last couple of years or last 2 years so many greatsakes where we have consistently shown not only the marked naphthythia for example but also the fact that we have been doing over the last couple of years or last 2 years so many greatsakes where we have consistently shown not only the marked naphthythia for example but also the fact that we have been doing over the last couple of years or last 2 years so many greatsakes where we have consistently shown not only the marked naphthythia for example but also the fact that we have been doing over the last couple of years or last 2 years so many greatsakes where we have consistently shown not only the marked naphthythia for,so after rotations close to .4 and what i would like to highlight though also it does show the recurring power of this business model because it is not one it is not 2 it is not 3 it is not 4 it is already several transactions that we have been doing over the last couple of years or less than the last 2 years selling majority stakes where we have consistently shown our not only the market appetite for these assets but also the interest and the sort of the attractiveness of these assets which is obviously increased even during this period
11.4000625,"if you do. We do expect it to continue to decline going forward, because the COVID is almost one off in fact so it creates a short term pressure this year.","Um, we do expect it to continue to decline going forward because the COVID is obviously a one-off impact, so it equates short term pressure this year.",if you do we do expect it to continue to decline going forward because the covid is almost one off in fact so it creates a short term pressure this year,we do expect it to continue to decline going forward because the covid is obviously a one off impact so it equates short term pressure this year
9.8599375,"And then you have two hundred million one of kind, one hundred million volume cost on both of our treataxe pages and on the one hundred million summary of a big chunk of text.","And then you have 200 million one-off cost, 100 million volume cost on, uh, uh, both on a pre-tax basis, and on the 100 million some of the big chunk of it is really.",and then you have 200000001 of kind 100000000 volume cost on both of our treataxe pages and on the 100000000 summary of a big chunk of text,and then you have 200000001 off cost 100000000 volume cost on both on a pre tax basis and on the 100000000 some of the big chunk of it is really
3.0000625,. It's been slow in the political department for the last year.,Wind flows in Portugal before the end of this year.,it has been slow in the political department for the last year,wind flows in portugal before the end of this year
4.9000625,"The new fifty twenty one off-road train tension with engine, which you know is called Ocean Wind.","The new 50-50 Wind offshore joint venture with energy because, you know, it's called Ocean Winds.",the new 5021 off road train tension with engine which you know is called ocean wind,the new 50 50 wind offshore joint venture with energy because you know it is called ocean winds
13.3599375,"Thank you very much for your participation and hope to have you in the next weeks in some iterations in several conferences and then on the Sir Squarter results, a concocted that is reaching vehicles.","Thank you very much for your participation and hope to have you in the next, uh, weeks, uh, in some interactions, uh, in several conferences and then on this quarter results of this callback that is, is reaching very close already.",thank you very much for your participation and hope to have you in the next weeks in some iterations in several conferences and then on the sir squarter results a concocted that is reaching vehicles,thank you very much for your participation and hope to have you in the next weeks in some interactions in several conferences and then on this quarter results of this callback that is is reaching very close already
24.820125,so I just call a sense of rewinding back to me at your first question results and the fairly positive update and I think certainly my interpretation was that the wind was sort of more blowing towards essentially this year coming out of of guidance and you should have updated it and the way you give it to perhaps a touch below a Frenchman.,"So, um, I just kind of sense when, when rewinding back to May at your first quarter results and the fairly positive update, and I think certainly my interpretation was that the, the wind was sort of more blowing towards essentially this year coming out ahead of us guidance and you sort of updated it and the range you've given to it, perhaps a touch below if you're, you're, you're pedantic.",so i just call a sense of rewinding back to me at your 1st question results and the fairly positive update and i think certainly my interpretation was that the wind was sort of more blowing towards essentially this year coming out of of guidance and you should have updated it and the way you give it to perhaps a touch below a frenchman,so i just kind of sense when when rewinding back to may at your 1st quarter results and the fairly positive update and i think certainly my interpretation was that the the wind was sort of more blowing towards essentially this year coming out ahead of us guidance and you sort of updated it and the range you have given to it perhaps a touch below if you are you are you are pedantic
3.460125,"So, as I mentioned, that's already all due into our target.","So as I mentioned, that's already built into our targets.",so as i mentioned that is already all due into our target,so as i mentioned that is already built into our targets
4.1800625,"and this also lowers clarity, interest, both at E.T.P.R. and E.T.P.R.","And there's also lower, um, minority interests, both at EDPR and EDP Brazil.",and this also lowers clarity interest both at e t p r and e t p r,and there is also lower minority interests both at edpr and edp brazil
5.9000625,". At an office, we announced the sale of the 240 megawatts as I mentioned in Spain, to 21 million per megawatt.","Back in August, we announced the sale of the 240 megawatts, as I mentioned, in Spain, 2.1 million per megawatt.",at an office we announced the sale of the 240 megawatts as i mentioned in spain to 21000000 per megawatt,back in august we announced the sale of the 240 megawatts as i mentioned in spain 2100000 per megawatt
11.8401875,"because it may be difficult for you to have a good amount of space, and so we are moving in the right direction, but on track, so in line with what we expected.","It doesn't mean we're currently, uh, you know, have a huge amount of space and so we are moving in the right direction, but on, on track, in line with, uh, what we expected.",because it may be difficult for you to have a good amount of space and so we are moving in the right direction but on track so in line with what we expected,it does not mean we are currently you know have a huge amount of space and so we are moving in the right direction but on on track in line with what we expected
